,get_amount,use_amount,get_amount+,use_amount+,get_amount-,use_amount-,remain_vs_get,remain_vs_use
0,35500.0,0.0,53250.0,0.0,17750.0,0.0,,
1,35500.0,0.0,53250.0,0.0,17750.0,0.0,500.0,0.0
2,750.0,0.0,1125.0,0.0,375.0,0.0,1000.0,0.0
3,500.0,7500.0,750.0,11250.0,250.0,3750.0,0.0,15000.0
4,0.0,15000.0,0.0,22500.0,0.0,7500.0,0.0,15000.0
5,0.0,15000.0,0.0,22500.0,0.0,7500.0,0.0,15000.0
6,0.0,15000.0,0.0,22500.0,0.0,7500.0,0.0,15000.0
7,0.0,15000.0,0.0,22500.0,0.0,7500.0,0.0,15000.0
8,0.0,15000.0,0.0,22500.0,0.0,7500.0,0.0,15000.0
9,0.0,12500.0,0.0,18750.0,0.0,6250.0,0.0,10000.0
10,0.0,15000.0,0.0,22500.0,0.0,7500.0,0.0,20000.0
11,0.0,20000.0,0.0,30000.0,0.0,10000.0,0.0,20000.0
12,0.0,14500.0,0.0,21750.0,0.0,7250.0,0.0,9000.0
13,2750.0,4500.0,4125.0,6750.0,1375.0,2250.0,5500.0,0.0
14,3000.0,0.0,4500.0,0.0,1500.0,0.0,500.0,0.0
