,get_amount,use_amount,get_amount+,use_amount+,get_amount-,use_amount-,remain_vs_get,remain_vs_use
0,27250.0,0.0,40875.0,0.0,13625.0,0.0,,
1,27250.0,0.0,40875.0,0.0,13625.0,0.0,500.0,0.0
2,500.0,0.0,750.0,0.0,250.0,0.0,500.0,0.0
3,750.0,0.0,1125.0,0.0,375.0,0.0,1000.0,0.0
4,1000.0,0.0,1500.0,0.0,500.0,0.0,1000.0,0.0
5,5500.0,0.0,8250.0,0.0,2750.0,0.0,10000.0,0.0
6,5000.0,500.0,7500.0,750.0,2500.0,250.0,0.0,1000.0
7,0.0,1000.0,0.0,1500.0,0.0,500.0,0.0,1000.0
8,0.0,3000.0,0.0,4500.0,0.0,1500.0,0.0,5000.0
9,0.0,3000.0,0.0,4500.0,0.0,1500.0,0.0,1000.0
10,0.0,1000.0,0.0,1500.0,0.0,500.0,0.0,1000.0
11,0.0,2500.0,0.0,3750.0,0.0,1250.0,0.0,4000.0
12,0.0,2500.0,0.0,3750.0,0.0,1250.0,0.0,1000.0
13,0.0,1000.0,0.0,1500.0,0.0,500.0,0.0,1000.0
14,0.0,1750.0,0.0,2625.0,0.0,875.0,0.0,2500.0
15,2500.0,1250.0,3750.0,1875.0,1250.0,625.0,5000.0,0.0
16,2500.0,250.0,3750.0,375.0,1250.0,125.0,0.0,500.0
17,500.0,250.0,750.0,375.0,250.0,125.0,1000.0,0.0
18,750.0,0.0,1125.0,0.0,375.0,0.0,500.0,0.0
19,750.0,0.0,1125.0,0.0,375.0,0.0,1000.0,0.0
20,750.0,0.0,1125.0,0.0,375.0,0.0,500.0,0.0
21,4000.0,0.0,6000.0,0.0,2000.0,0.0,7500.0,0.0
22,4000.0,0.0,6000.0,0.0,2000.0,0.0,500.0,0.0
23,500.0,0.0,750.0,0.0,250.0,0.0,500.0,0.0
24,500.0,0.0,750.0,0.0,250.0,0.0,500.0,0.0
25,750.0,0.0,1125.0,0.0,375.0,0.0,1000.0,0.0
26,1000.0,0.0,1500.0,0.0,500.0,0.0,1000.0,0.0
27,1000.0,0.0,1500.0,0.0,500.0,0.0,1000.0,0.0
28,500.0,7500.0,750.0,11250.0,250.0,3750.0,0.0,15000.0
29,0.0,15000.0,0.0,22500.0,0.0,7500.0,0.0,15000.0
30,0.0,15000.0,0.0,22500.0,0.0,7500.0,0.0,15000.0
31,0.0,15000.0,0.0,22500.0,0.0,7500.0,0.0,15000.0
32,0.0,12000.0,0.0,18000.0,0.0,6000.0,0.0,9000.0
33,1750.0,4500.0,2625.0,6750.0,875.0,2250.0,3500.0,0.0
34,2000.0,0.0,3000.0,0.0,1000.0,0.0,500.0,0.0
35,500.0,0.0,750.0,0.0,250.0,0.0,500.0,0.0
36,750.0,0.0,1125.0,0.0,375.0,0.0,1000.0,0.0
