"auto_id","log_identifer","log_date","log_details"
"1","조자룡","2023-03-09 20:51:25","REWARD  GET 1000 / REMAIN 29006"
"2","12333","2023-03-09 21:06:12","JANGSU GOTCHA USE 7500 / REMAIN 1297586"
"3","12333","2023-03-09 21:06:34","REWARD  GET 8000 / REMAIN 1305586"
"4","12333","2023-03-09 21:06:35","REWARD  GET 2000 / REMAIN 1307586"
"5","20230302핸드폰","2023-03-10 03:18:22","REWARD  GET 500 / REMAIN 3223506"
"6","20230302핸드폰","2023-03-10 03:29:34","REWARD  GET 500 / REMAIN 3224006"
"7","20230302핸드폰","2023-03-10 03:29:35","REWARD  GET 1000 / REMAIN 3225006"
"8","20230302핸드폰","2023-03-10 03:29:36","REWARD  GET 500 / REMAIN 3225506"
"9","20230302핸드폰","2023-03-10 03:29:37","REWARD  GET 500 / REMAIN 3226006"
"10","20230302핸드폰","2023-03-10 03:31:12","REWARD  GET 500 / REMAIN 3226506"
"11","기며노","2023-03-10 07:40:43","REWARD  GET 40000 / REMAIN 45506"
"12","조자룡","2023-03-10 08:58:06","REWARD  GET 500 / REMAIN 29506"
"13","조자룡","2023-03-10 08:58:06","REWARD  GET 500 / REMAIN 30006"
"14","조자룡","2023-03-10 08:58:07","REWARD  GET 1000 / REMAIN 31006"
"15","조자룡","2023-03-10 09:16:20","REWARD  GET 1000 / REMAIN 32006"
"16","조자룡","2023-03-10 09:16:21","REWARD  GET 1500 / REMAIN 33506"
"17","조자룡","2023-03-10 09:16:22","REWARD  GET 500 / REMAIN 34006"
"18","조자룡","2023-03-10 09:16:30","REWARD  GET 10000 / REMAIN 44006"
"19","조자룡","2023-03-10 09:16:37","USE  USE 1000 / REMAIN 43006"
"20","조자룡","2023-03-10 09:16:38","USE  USE 2500 / REMAIN 40506"
"21","조자룡","2023-03-10 09:16:40","USE  USE 2000 / REMAIN 38506"
"22","조자룡","2023-03-10 09:16:42","USE  USE 1000 / REMAIN 37506"
"23","조자룡","2023-03-10 09:16:44","USE  USE 500 / REMAIN 37006"
"24","조자룡","2023-03-10 09:16:46","USE  USE 4000 / REMAIN 33006"
"25","조자룡","2023-03-10 09:16:47","USE  USE 2000 / REMAIN 31006"
"26","조자룡","2023-03-10 09:16:49","USE  USE 2500 / REMAIN 28506"
"27","조자룡","2023-03-10 09:16:50","USE  USE 1000 / REMAIN 27506"
"28","조자룡","2023-03-10 09:16:52","USE  USE 3000 / REMAIN 24506"
"29","조자룡","2023-03-10 09:16:56","REWARD  GET 500 / REMAIN 25006"
"30","조자룡","2023-03-10 09:16:56","REWARD  GET 500 / REMAIN 25506"
"31","조자룡","2023-03-10 09:16:57","REWARD  GET 1000 / REMAIN 26506"
"32","조자룡","2023-03-10 09:19:05","REWARD  GET 1000 / REMAIN 27506"
"33","조자룡","2023-03-10 09:19:05","REWARD  GET 500 / REMAIN 28006"
"34","조자룡","2023-03-10 09:19:06","REWARD  GET 500 / REMAIN 28506"
"35","조자룡","2023-03-10 09:19:07","REWARD  GET 500 / REMAIN 29006"
"36","조자룡","2023-03-10 09:19:07","REWARD  GET 1000 / REMAIN 30006"
"37","조자룡","2023-03-10 09:19:07","REWARD  GET 1000 / REMAIN 31006"
"38","조자룡","2023-03-10 09:19:07","REWARD  GET 1000 / REMAIN 32006"
"39","조자룡","2023-03-10 10:01:47","REWARD  GET 3500 / REMAIN 35506"
"40","20230302핸드폰","2023-03-10 10:08:01","REWARD  GET 2500 / REMAIN 3229006"
"41","20230302핸드폰","2023-03-10 10:08:11","REWARD  GET 8500 / REMAIN 3237506"
"42","20230302핸드폰","2023-03-10 10:08:52","REWARD  GET 1000 / REMAIN 3238506"
"43","20230302핸드폰","2023-03-10 10:10:18","REWARD  GET 500 / REMAIN 3239006"
"44","20230302핸드폰","2023-03-10 10:10:19","REWARD  GET 1000 / REMAIN 3240006"
"45","20230302핸드폰","2023-03-10 10:10:54","REWARD  GET 500 / REMAIN 3240506"
"46","20230302핸드폰","2023-03-10 10:10:56","REWARD  GET 500 / REMAIN 3241006"
"47","20230302핸드폰","2023-03-10 10:11:06","REWARD  GET 1000 / REMAIN 3242006"
"48","20230302핸드폰","2023-03-10 10:32:49","REWARD  GET 1000 / REMAIN 3243006"
"49","20230302핸드폰","2023-03-10 10:32:49","REWARD  GET 500 / REMAIN 3243506"
"50","조자룡","2023-03-10 11:40:09","REWARD  GET 7500 / REMAIN 43006"
"51","조자룡","2023-03-10 12:54:16","REWARD  GET 6000 / REMAIN 49006"
"52","조자룡","2023-03-10 12:54:16","REWARD  GET 500 / REMAIN 49506"
"53","아이폰","2023-03-10 15:02:38","USE  USE 500 / REMAIN 5291"
"54","아이폰","2023-03-10 15:02:41","USE  USE 500 / REMAIN 4791"
"55","아이폰","2023-03-10 15:21:14","REWARD  GET 4000 / REMAIN 8791"
"56","아이폰","2023-03-10 15:21:15","REWARD  GET 20000 / REMAIN 28791"
"57","아이폰","2023-03-10 15:21:16","REWARD  GET 500 / REMAIN 29291"
"58","아이폰","2023-03-10 15:21:17","REWARD  GET 500 / REMAIN 29791"
"59","아이폰","2023-03-10 15:21:17","REWARD  GET 500 / REMAIN 30291"
"60","아이폰","2023-03-10 15:21:17","REWARD  GET 1000 / REMAIN 31291"
"61","아이폰","2023-03-10 15:21:17","REWARD  GET 1000 / REMAIN 32291"
"62","220820","2023-03-10 15:55:35","REWARD  GET 500 / REMAIN 43006"
"63","220820","2023-03-10 15:55:39","REWARD  GET 500 / REMAIN 43506"
"64","12333","2023-03-10 16:23:12","REWARD  GET 4500 / REMAIN 1312086"
"65","12333","2023-03-10 16:24:08","REWARD  GET 500 / REMAIN 1312586"
"66","12333","2023-03-10 16:24:10","REWARD  GET 1000 / REMAIN 1313586"
"67","220820","2023-03-10 16:27:05","REWARD  GET 500 / REMAIN 44006"
"68","220820","2023-03-10 16:27:05","REWARD  GET 500 / REMAIN 44506"
"69","220820","2023-03-10 16:27:06","REWARD  GET 500 / REMAIN 45006"
"70","220820","2023-03-10 16:39:13","REWARD  GET 1000 / REMAIN 46006"
"71","220820","2023-03-10 16:39:49","REWARD  GET 500 / REMAIN 46506"
"72","12333","2023-03-10 16:54:51","REWARD 업적 보상 GET 2500 / REMAIN 1316086"
"73","12333","2023-03-10 16:59:09","REWARD 임무 보상 수령 GET 500 / REMAIN 1316586"
"74","12333","2023-03-10 16:59:10","REWARD 임무 보상 수령 GET 1000 / REMAIN 1317586"
"75","12333","2023-03-10 17:11:24","REWARD 업적 보상 GET 1000 / REMAIN 1318586"
"76","12333","2023-03-10 17:13:04","REWARD 임무 보상 수령 GET 500 / REMAIN 1319086"
"77","12333","2023-03-10 17:13:04","REWARD 임무 보상 수령 GET 1000 / REMAIN 1320086"
"78","아이폰","2023-03-10 17:50:10","REWARD  GET 8500 / REMAIN 40791"
"79","아이폰","2023-03-10 17:52:25","REWARD  GET 500 / REMAIN 41291"
"80","아이폰","2023-03-10 17:53:20","WEAPON GOTCHA USE 10000 / REMAIN 31291"
"81","아이폰","2023-03-10 18:53:12","REWARD 업적 보상 GET 500 / REMAIN 31791"
"82","아이폰","2023-03-10 18:53:12","REWARD 업적 보상 GET 3500 / REMAIN 35291"
"83","아이폰","2023-03-10 18:53:13","REWARD 업적 보상 GET 500 / REMAIN 35791"
"84","아이폰","2023-03-10 18:53:30","REWARD 임무 보상 수령 GET 1000 / REMAIN 36791"
"85","아이폰","2023-03-10 19:01:38","SKILL GOTCHA USE 9000 / REMAIN 27791"
"86","아이폰","2023-03-10 19:01:44","SKILL GOTCHA USE 9000 / REMAIN 18791"
"87","아이폰","2023-03-10 19:01:46","SKILL GOTCHA USE 9000 / REMAIN 9791"
"88","아이폰","2023-03-10 19:01:52","JANGSU GOTCHA USE 2500 / REMAIN 7291"
"89","아이폰","2023-03-10 19:02:16","JANGSU GOTCHA USE 2500 / REMAIN 4791"
"90","아이폰","2023-03-10 19:02:18","JANGSU GOTCHA USE 2500 / REMAIN 2291"
"91","아이폰","2023-03-10 19:02:26","REWARD 업적 보상 GET 1000 / REMAIN 3291"
"92","220820","2023-03-10 19:13:02","REWARD 업적 보상 GET 500 / REMAIN 47006"
"93","아이폰","2023-03-10 19:24:36","REWARD 업적 보상 GET 1000 / REMAIN 4291"
"94","아이폰","2023-03-10 19:24:36","REWARD 임무 보상 수령 GET 500 / REMAIN 4791"
"95","아이폰","2023-03-10 19:25:54","WEAPON GOTCHA USE 1000 / REMAIN 3791"
"96","아이폰","2023-03-10 19:26:21","WEAPON GOTCHA USE 1000 / REMAIN 2791"
"97","아이폰","2023-03-10 19:26:59","REWARD dia.300000 GET 300000 / REMAIN 302791"
"98","아이폰","2023-03-10 19:27:09","JANGSU GOTCHA USE 15000 / REMAIN 287791"
"99","아이폰","2023-03-10 19:30:08","JANGSU GOTCHA USE 15000 / REMAIN 272791"
"100","아이폰","2023-03-10 19:30:12","JANGSU GOTCHA USE 15000 / REMAIN 257791"
"101","아이폰","2023-03-10 19:30:14","JANGSU GOTCHA USE 15000 / REMAIN 242791"
"102","아이폰","2023-03-10 19:30:15","JANGSU GOTCHA USE 15000 / REMAIN 227791"
"103","아이폰","2023-03-10 19:30:17","JANGSU GOTCHA USE 15000 / REMAIN 212791"
"104","아이폰","2023-03-10 19:30:18","JANGSU GOTCHA USE 15000 / REMAIN 197791"
"105","아이폰","2023-03-10 19:30:20","JANGSU GOTCHA USE 15000 / REMAIN 182791"
"106","아이폰","2023-03-10 19:30:21","JANGSU GOTCHA USE 15000 / REMAIN 167791"
"107","아이폰","2023-03-10 19:30:23","JANGSU GOTCHA USE 15000 / REMAIN 152791"
"108","아이폰","2023-03-10 19:30:24","JANGSU GOTCHA USE 15000 / REMAIN 137791"
"109","아이폰","2023-03-10 19:30:26","JANGSU GOTCHA USE 15000 / REMAIN 122791"
"110","아이폰","2023-03-10 19:30:27","JANGSU GOTCHA USE 15000 / REMAIN 107791"
"111","아이폰","2023-03-10 19:30:29","JANGSU GOTCHA USE 15000 / REMAIN 92791"
