"auto_id","log_identifer","log_date","log_details"
"1","김경동","2023-02-20 17:40:32","money:44527123877/stone:32283730865/"
"2","김경동","2023-02-20 17:40:35","money:44527631691/moneyticket:85/accessoryticket:10/skillticket:30/"
"3","김경동","2023-02-20 17:42:36","stone:32283780865/"
"4","김경동","2023-02-20 17:42:37","money:44528705092/awakenticket:13/accessoryticket:20/supportticket:30/"
"5","김경동","2023-02-20 17:44:08","money:44529673733/stone:32283830865/"
"6","김경동","2023-02-20 17:44:24","money:44534186660/moneyticket:86/skillbookticket:17/accessoryticket:30/"
"7","김경동","2023-02-20 17:49:28","money:44592816787/stone:32283880865/"
"8","김경동","2023-02-20 17:49:33","money:44594665958/moneyticket:87/awakenticket:14/accessoryticket:40/"
"9","12333","2023-02-20 18:40:13","money:2350186485772/stone:3765849/"
"10","12333","2023-02-20 18:40:14","money:2350186903612/awakenticket:15/weaponticket:20/skillticket:20/"
"11","조운","2023-02-20 23:46:49","money:707007744835/stone:68039499/"
"12","조운","2023-02-20 23:46:50","money:707011907942/moneyticket:53/weaponticket:10/supportticket:10/"
"13","조운","2023-02-21 01:29:35","money:646741773211/stone:121637899/"
"14","조운","2023-02-21 01:29:36","money:646744265491/moneyticket:1/skillbookticket:153/accessoryticket:10/"
"15","무지성","2023-02-21 13:04:02","money:765005/stone:447274/"
"16","무지성","2023-02-21 13:04:13","skillbookticket:31/awakenticket:31/jangsuticket:10/"
"17","12333","2023-02-21 20:22:44","money:548443155808/stone:2086449/"
"18","12333","2023-02-21 20:22:45","money:548443199581/bossticket:24/moneyticket:55/clothticket:20/"
"19","조운","2023-02-21 23:13:43","money:1173249997839/stone:98368635/"
"20","조운","2023-02-21 23:13:45","money:1173254942589/bossticket:1/awakenticket:1/jangsuticket:10/"
"21","12333","2023-02-22 13:53:07","money:549461897898/stone:2230549/"
"22","12333","2023-02-22 13:53:08","money:549461919505/clothticket:30/jangsuticket:30/supportticket:30/"
"23","조운","2023-02-22 22:46:39","money:750875561879/stone:216096170/"
"24","조운","2023-02-22 22:46:40","money:750878035585/bossticket:5/awakenticket:1/supportticket:10/"
"25","20230223시작","2023-02-23 13:25:24","skillbookticket:12/awakenticket:12/jangsuticket:20/"
"26","20230223시작","2023-02-23 13:25:37","stone:305946/"
"27","12333","2023-02-23 15:14:13","money:870867183336/stone:6063049/"
"28","12333","2023-02-23 15:14:14","skillbookticket:34/accessoryticket:30/jangsuticket:10/"
"29","12333","2023-02-24 03:18:19","money:3116615321754/stone:3195876/"
"30","12333","2023-02-24 03:18:20","bossticket:6/skillbookticket:11/accessoryticket:40/"
"31","조운","2023-02-24 06:36:52","money:3292885697093/stone:18294970/"
"32","조운","2023-02-24 06:36:54","money:3292886976994/moneyticket:2/skillticket:10/"
"33","20230223시작","2023-02-24 12:50:42","money:66949453/stone:391946/bossticket:12/clothticket:20/skillticket:20/"
"34","20230223시작","2023-02-24 12:50:53","money:66991209/stone:441946/"
"35","230217","2023-02-24 20:54:56","money:35974532/stone:2905127/"
"36","230217","2023-02-24 20:54:57","money:35976944/skillbookticket:11/awakenticket:11/weaponticket:10/"
"37","조자룡","2023-02-24 22:42:43","money:2456/stone:87006/"
"38","조자룡","2023-02-24 22:42:45","money:2482/moneyticket:11/skillticket:20/jangsuticket:20/"
"39","230217","2023-02-25 14:22:19","money:16787394/stone:3022521/"
"40","230217","2023-02-25 14:22:20","money:16804541/moneyticket:12/awakenticket:14/skillticket:20/"
"41","조자룡","2023-02-25 14:32:54","money:195084737/stone:3905942/"
"42","조자룡","2023-02-25 14:32:56","money:195176555/bossticket:1/moneyticket:3/skillbookticket:1/"
"43","조자룡","2023-02-26 07:41:59","money:79702818930/stone:346674/skillbook:3406231/"
"44","조자룡","2023-02-26 07:42:01","money:79703134802/clothticket:30/jangsuticket:10/"
"45","조자룡","2023-02-27 00:17:35","money:144065476411/stone:1101685/"
"46","조자룡","2023-02-27 00:17:36","money:144065888050/skillbookticket:9/weaponticket:10/skillticket:10/"
"47","12333","2023-02-27 14:19:15","money:4930315825450/stone:14270134/"
"48","12333","2023-02-27 14:19:17","bossticket:36/awakenticket:9/accessoryticket:10/"
"49","12333","2023-02-27 17:30:12","money:4411799024/skillbookticket:56/eventMoney:-900/eventshopCost:0,0,0,0,100,100,100,250,200,200,5,5,5,5,5,5,100,150,200,300,100,300,500,0,0,0,0,0,0,0/eventshopRemain:0,0,0,0,20,20,11,10,10,10,100,100,100,100,100,100,10,10,10,10,20,10,50,0,0,0,0,0,0,0/"
"50","12333","2023-02-27 17:36:43","money:4413622331/weaponticket:2/eventTicket:2/eventshopRemain:0,0,0,0,20,20,20,10,10,10,98,100,100,100,100,100,10,10,10,10,20,10,5,0,0,0,0,0,0,0/"
"51","12333","2023-02-27 17:42:24","money:4417308989/jangsuticket:14/eventMoney:55485/eventshopRemain:0,0,0,0,20,20,20,10,10,10,100,100,100,86,100,100,10,10,10,10,20,10,5,0,0,0,0,0,0,0/"
"52","12333","2023-02-27 17:42:30","money:4417829168/weaponss:16/eventMoney:52485/eventshopRemain:0,0,0,0,20,20,20,10,10,10,100,100,100,86,100,100,10,10,10,10,20,0,5,0,0,0,0,0,0,0/"
"53","12333","2023-02-27 17:42:33","money:4418120812/weaponsss:7/eventMoney:49985/eventshopRemain:0,0,0,0,20,20,20,10,10,10,100,100,100,86,100,100,10,10,10,10,20,0,0,0,0,0,0,0,0,0/"
"54","12333","2023-02-27 17:42:37","money:4418603029/abilstone:25/eventMoney:47985/eventshopRemain:0,0,0,0,20,20,20,10,10,10,100,100,100,86,100,100,10,10,10,10,0,0,0,0,0,0,0,0,0,0/"
"55","12333","2023-02-27 20:18:43","money:105700515444/edutimefour:1101/eventMoney:100/eventTicket:2/eventshopRemain:0,0,0,0,20,20,20,10,10,10,100,100,100,100,100,100,10,10,9,10,20,10,5,0,0,0,0,0,0,0/"
"56","230217","2023-02-27 20:27:34","money:202189073/stone:4175521/"
"57","230217","2023-02-27 20:27:35","money:202224076/moneyticket:5/awakenticket:15/"
"58","김경동","2023-02-27 20:40:25","money:72704720860/stone:32285735865/"
"59","김경동","2023-02-27 20:40:26","money:72704968885/bossticket:49/moneyticket:109/accessoryticket:50/"
"60","테스트시작","2023-02-27 21:56:08","money:1552253507248/weaponsss:7/eventMoney:100/eventTicket:1/eventshopRemain:0,0,0,0,20,20,20,10,10,10,100,100,100,100,100,100,10,10,10,10,20,10,4,0,0,0,0,0,0,0/"
"61","조자룡","2023-02-28 00:07:02","money:293298325992/stone:7246094/"
"62","조자룡","2023-02-28 00:07:03","money:293298454565/bossticket:12/jangsuticket:30/"
"63","김경동","2023-02-28 15:24:06","money:4162671910599/stone:32294366272/"
"64","김경동","2023-02-28 15:24:10","money:4162692731543/weaponticket:10/accessoryticket:60/jangsuticket:10/"
"65","김경동","2023-02-28 15:24:38","money:4163265157384/stone:32294818272/weaponsss:2/eventMoney:0/eventshopRemain:0,0,0,0,20,20,20,10,10,10,100,100,100,100,100,100,10,10,10,10,20,10,3,0,0,0,0,0,0,0/"
"66","조자룡","2023-03-01 00:08:52","money:76342403145/stone:11539608/"
"67","조자룡","2023-03-01 00:08:53","money:76342573593/moneyticket:4/skillbookticket:4/awakenticket:4/"
"68","조자룡","2023-03-01 00:17:23","money:529563503153/stone:12974565/awakenticket:9/eventMoney:0/eventshopRemain:0,0,0,0,20,20,20,6,10,10,100,100,100,100,100,100,10,10,10,10,20,10,5,0,0,0,0,0,0,0/"
"69","조자룡","2023-03-02 00:24:45","money:130301244301/stone:2105699/eventMoney:400/"
"70","조자룡","2023-03-02 00:24:46","money:130303018564/clothticket:30/supportticket:50/"
"71","조자룡","2023-03-02 01:32:01","money:164397806520/stone:2215699/awakenticket:7/eventMoney:100/eventshopRemain:0,0,0,0,20,20,20,4,10,10,100,100,100,100,100,100,10,10,10,10,20,10,5,0,0,0,0,0,0,0/"
"72","12333","2023-03-02 15:40:26","money:106229070670/stone:124839/"
"73","12333","2023-03-02 15:40:27","money:106229070857/weaponticket:22/supportticket:10/"
"74","20230302핸드폰","2023-03-02 15:49:08","money:1142548/stone:218236/"
"75","20230302핸드폰","2023-03-02 15:49:19","money:1173699/bossticket:12/skillbookticket:13/awakenticket:13/"
"76","12333","2023-03-02 19:27:19","{
    """"BeforeData"""": {
        """"Member"""": {
            """"money"""": """"343986411117"""",
            """"stone"""": """"2517339"""",
            """"skillbook"""": """"435877734""""
        },
        """"Ticket"""": {
            """"Num"""": """"171"""",
            """"username"""": """"12333"""",
            """"bossticket"""": """"15"""",
            """"moneyticket"""": """"22"""",
            """"skillbookticket"""": """"20"""",
            """"awakenticket"""": """"4"""",
            """"pvpticket"""": """"18"""",
            """"gongbangticket"""": """"0"""",
            """"weaponticket"""": """"22"""",
            """"accessoryticket"""": """"10"""",
            """"clothticket"""": """"60"""",
            """"skillticket"""": """"0"""",
            """"jangsuticket"""": """"14"""",
            """"supportticket"""": """"10"""",
            """"edutimeone"""": """"2810"""",
            """"edutimetwo"""": """"1909"""",
            """"edutimefour"""": """"1099"""",
            """"edutimefull"""": """"94"""",
            """"abilstone"""": """"41"""",
            """"weaponss"""": """"20"""",
            """"weaponsss"""": """"8""""
        },
        """"EventData"""": {
            """"Num"""": """"171"""",
            """"username"""": """"12333"""",
            """"bossticket"""": """"15"""",
            """"moneyticket"""": """"22"""",
            """"skillbookticket"""": """"20"""",
            """"awakenticket"""": """"4"""",
            """"pvpticket"""": """"18"""",
            """"gongbangticket"""": """"0"""",
            """"weaponticket"""": """"22"""",
            """"accessoryticket"""": """"10"""",
            """"clothticket"""": """"60"""",
            """"skillticket"""": """"0"""",
            """"jangsuticket"""": """"14"""",
            """"supportticket"""": """"10"""",
            """"edutimeone"""": """"2810"""",
            """"edutimetwo"""": """"1909"""",
            """"edutimefour"""": """"1099"""",
            """"edutimefull"""": """"94"""",
            """"abilstone"""": """"41"""",
            """"weaponss"""": """"20"""",
            """"weaponsss"""": """"8""""
        }
    },
    """"AFTER"""": {
        """"Member"""": {
            """"money"""": """"343986411117 -> 343986412663""""
        },
        """"Ticket"""": {
            """"awakenticket"""": """"4 -> 6""""
        },
        """"EventData"""": {}
    }
}"
"77","12333","2023-03-02 19:27:47","{
    """"BeforeData"""": {
        """"Member"""": {
            """"money"""": """"343986412663"""",
            """"stone"""": """"2517339"""",
            """"skillbook"""": """"435877734""""
        },
        """"Ticket"""": {
            """"Num"""": """"171"""",
            """"username"""": """"12333"""",
            """"bossticket"""": """"15"""",
            """"moneyticket"""": """"22"""",
            """"skillbookticket"""": """"20"""",
            """"awakenticket"""": """"6"""",
            """"pvpticket"""": """"18"""",
            """"gongbangticket"""": """"0"""",
            """"weaponticket"""": """"22"""",
            """"accessoryticket"""": """"10"""",
            """"clothticket"""": """"60"""",
            """"skillticket"""": """"0"""",
            """"jangsuticket"""": """"14"""",
            """"supportticket"""": """"10"""",
            """"edutimeone"""": """"2810"""",
            """"edutimetwo"""": """"1909"""",
            """"edutimefour"""": """"1099"""",
            """"edutimefull"""": """"94"""",
            """"abilstone"""": """"41"""",
            """"weaponss"""": """"20"""",
            """"weaponsss"""": """"8""""
        },
        """"EventData"""": {
            """"Num"""": """"171"""",
            """"username"""": """"12333"""",
            """"bossticket"""": """"15"""",
            """"moneyticket"""": """"22"""",
            """"skillbookticket"""": """"20"""",
            """"awakenticket"""": """"6"""",
            """"pvpticket"""": """"18"""",
            """"gongbangticket"""": """"0"""",
            """"weaponticket"""": """"22"""",
            """"accessoryticket"""": """"10"""",
            """"clothticket"""": """"60"""",
            """"skillticket"""": """"0"""",
            """"jangsuticket"""": """"14"""",
            """"supportticket"""": """"10"""",
            """"edutimeone"""": """"2810"""",
            """"edutimetwo"""": """"1909"""",
            """"edutimefour"""": """"1099"""",
            """"edutimefull"""": """"94"""",
            """"abilstone"""": """"41"""",
            """"weaponss"""": """"20"""",
            """"weaponsss"""": """"8""""
        }
    },
    """"AFTER"""": {
        """"Member"""": {
            """"money"""": """"343986412663 -> 343986428824""""
        },
        """"Ticket"""": {
            """"jangsuticket"""": """"14 -> 24""""
        },
        """"EventData"""": {}
    }
}"
"78","12333","2023-03-02 19:27:48","{
    """"BeforeData"""": {
        """"Member"""": {
            """"money"""": """"343986428824"""",
            """"stone"""": """"2517339"""",
            """"skillbook"""": """"435877734""""
        },
        """"Ticket"""": {
            """"Num"""": """"171"""",
            """"username"""": """"12333"""",
            """"bossticket"""": """"15"""",
            """"moneyticket"""": """"22"""",
            """"skillbookticket"""": """"20"""",
            """"awakenticket"""": """"6"""",
            """"pvpticket"""": """"18"""",
            """"gongbangticket"""": """"0"""",
            """"weaponticket"""": """"22"""",
            """"accessoryticket"""": """"10"""",
            """"clothticket"""": """"60"""",
            """"skillticket"""": """"0"""",
            """"jangsuticket"""": """"24"""",
            """"supportticket"""": """"10"""",
            """"edutimeone"""": """"2810"""",
            """"edutimetwo"""": """"1909"""",
            """"edutimefour"""": """"1099"""",
            """"edutimefull"""": """"94"""",
            """"abilstone"""": """"41"""",
            """"weaponss"""": """"20"""",
            """"weaponsss"""": """"8""""
        },
        """"EventData"""": {
            """"Num"""": """"171"""",
            """"username"""": """"12333"""",
            """"bossticket"""": """"15"""",
            """"moneyticket"""": """"22"""",
            """"skillbookticket"""": """"20"""",
            """"awakenticket"""": """"6"""",
            """"pvpticket"""": """"18"""",
            """"gongbangticket"""": """"0"""",
            """"weaponticket"""": """"22"""",
            """"accessoryticket"""": """"10"""",
            """"clothticket"""": """"60"""",
            """"skillticket"""": """"0"""",
            """"jangsuticket"""": """"24"""",
            """"supportticket"""": """"10"""",
            """"edutimeone"""": """"2810"""",
            """"edutimetwo"""": """"1909"""",
            """"edutimefour"""": """"1099"""",
            """"edutimefull"""": """"94"""",
            """"abilstone"""": """"41"""",
            """"weaponss"""": """"20"""",
            """"weaponsss"""": """"8""""
        }
    },
    """"AFTER"""": {
        """"Member"""": {
            """"money"""": """"343986428824 -> 343986430061""""
        },
        """"Ticket"""": {
            """"moneyticket"""": """"22 -> 24""""
        },
        """"EventData"""": {}
    }
}"
"79","12333","2023-03-02 19:27:52","{
    """"BeforeData"""": {
        """"Member"""": {
            """"money"""": """"343986430061"""",
            """"stone"""": """"2517339"""",
            """"skillbook"""": """"435877734""""
        },
        """"Ticket"""": {
            """"Num"""": """"171"""",
            """"username"""": """"12333"""",
            """"bossticket"""": """"15"""",
            """"moneyticket"""": """"24"""",
            """"skillbookticket"""": """"20"""",
            """"awakenticket"""": """"6"""",
            """"pvpticket"""": """"18"""",
            """"gongbangticket"""": """"0"""",
            """"weaponticket"""": """"22"""",
            """"accessoryticket"""": """"10"""",
            """"clothticket"""": """"60"""",
            """"skillticket"""": """"0"""",
            """"jangsuticket"""": """"24"""",
            """"supportticket"""": """"10"""",
            """"edutimeone"""": """"2810"""",
            """"edutimetwo"""": """"1909"""",
            """"edutimefour"""": """"1099"""",
            """"edutimefull"""": """"94"""",
            """"abilstone"""": """"41"""",
            """"weaponss"""": """"20"""",
            """"weaponsss"""": """"8""""
        },
        """"EventData"""": {
            """"Num"""": """"171"""",
            """"username"""": """"12333"""",
            """"bossticket"""": """"15"""",
            """"moneyticket"""": """"24"""",
            """"skillbookticket"""": """"20"""",
            """"awakenticket"""": """"6"""",
            """"pvpticket"""": """"18"""",
            """"gongbangticket"""": """"0"""",
            """"weaponticket"""": """"22"""",
            """"accessoryticket"""": """"10"""",
            """"clothticket"""": """"60"""",
            """"skillticket"""": """"0"""",
            """"jangsuticket"""": """"24"""",
            """"supportticket"""": """"10"""",
            """"edutimeone"""": """"2810"""",
            """"edutimetwo"""": """"1909"""",
            """"edutimefour"""": """"1099"""",
            """"edutimefull"""": """"94"""",
            """"abilstone"""": """"41"""",
            """"weaponss"""": """"20"""",
            """"weaponsss"""": """"8""""
        }
    },
    """"AFTER"""": {
        """"Member"""": {
            """"money"""": """"343986430061 -> 343986431664"""",
            """"stone"""": """"2517339 -> 2617339""""
        },
        """"Ticket"""": {},
        """"EventData"""": {}
    }
}"
